Designator,Mid X,Mid Y,Layer,Rotation
C213,55.474999000000004mm,73.774997mm,Bottom,270.0
C214,56.675099mm,73.774997mm,Bottom,270.0
C215,57.874999mm,73.774997mm,Bottom,270.0
C204,44.674999mm,73.774997mm,Bottom,270.0
C205,45.875099000000006mm,73.774997mm,Bottom,270.0
C206,47.074999000000005mm,73.774997mm,Bottom,270.0
C207,48.275099000000004mm,73.774997mm,Bottom,270.0
C200,39.875099000000006mm,73.774997mm,Bottom,270.0
C201,41.074999000000005mm,73.774997mm,Bottom,270.0
C202,42.275099000000004mm,73.774997mm,Bottom,270.0
C203,43.474999000000004mm,73.774997mm,Bottom,270.0
C195,51.525099000000004mm,81.774997mm,Bottom,270.0
C190,66.02499900000001mm,82.074997mm,Bottom,0.0
C185,44.424999mm,81.774997mm,Bottom,270.0
C180,60.224999000000004mm,82.074997mm,Bottom,0.0
C175,54.425099mm,82.074997mm,Bottom,0.0
C170,71.825099mm,82.074997mm,Bottom,0.0
C142,78.174999mm,69.874997mm,Bottom,270.0
C141,76.974999mm,69.874997mm,Bottom,270.0
C139,75.77509900000001mm,69.874997mm,Bottom,90.0
C135,74.574999mm,69.874997mm,Bottom,270.0
C211,53.074999000000005mm,73.774997mm,Bottom,270.0
C210,51.875099000000006mm,73.774997mm,Bottom,270.0
C209,50.674999mm,73.774997mm,Bottom,270.0
C208,49.475099mm,73.774997mm,Bottom,270.0
C147,52.875099000000006mm,93.17499699999999mm,Bottom,90.0
F101,41.824999000000005mm,106.524997mm,Bottom,180.0
R134,51.875099000000006mm,99.099997mm,Bottom,0.0
R133,51.875099000000006mm,100.274997mm,Bottom,0.0
C133,51.875099000000006mm,97.92499699999999mm,Bottom,180.0
R131,59.049999mm,85.199997mm,Bottom,180.0
U101,41.574999000000005mm,102.974997mm,Top,270.0
R130,49.675099mm,90.874997mm,Bottom,90.0
R129,49.675099mm,86.774997mm,Bottom,90.0
Y101,54.974999000000004mm,100.774997mm,Bottom,270.0
C116,55.274999mm,98.874997mm,Bottom,180.0
C115,55.474999000000004mm,102.774997mm,Bottom,180.0
C124,53.374999mm,88.724997mm,Bottom,180.0
R121,52.875099000000006mm,95.074997mm,Bottom,270.0
R106,60.250099000000006mm,105.949997mm,Bottom,90.0
J101,48.994999mm,106.159997mm,Top,180.0
C129,53.374999mm,96.774997mm,Bottom,180.0
C128,62.575099mm,106.67499699999999mm,Bottom,90.0
C121,61.650099mm,85.699997mm,Bottom,270.0
C118,66.750099mm,85.29999699999999mm,Bottom,0.0
C110,73.625099mm,104.574997mm,Bottom,0.0
C109,73.875099mm,97.774997mm,Bottom,90.0
C108,73.924999mm,92.074997mm,Bottom,90.0
R105,74.475099mm,88.474997mm,Bottom,180.0
R104,73.874999mm,95.274997mm,Bottom,90.0
R103,74.475099mm,87.474997mm,Bottom,180.0
R125,68.77499900000001mm,88.17499699999999mm,Bottom,180.0
C104,39.124999mm,105.42499699999999mm,Bottom,90.0
C137,46.274999mm,103.17499699999999mm,Bottom,180.0
D101,40.124999mm,99.474997mm,Bottom,180.0
C101,49.824999000000005mm,106.824997mm,Bottom,0.0
R102,78.574999mm,107.074997mm,Bottom,180.0
R101,47.775099000000004mm,96.474997mm,Bottom,270.0
D102,77.174399mm,105.51819699999999mm,Top,90.0
Y102,55.675099mm,93.274997mm,Bottom,90.0
R122,72.174999mm,88.17499699999999mm,Bottom,90.0
R123,71.175099mm,88.17499699999999mm,Bottom,90.0
R127,57.749999mm,106.349997mm,Bottom,270.0
R128,60.550099mm,85.699997mm,Bottom,270.0
D106,47.824999000000005mm,99.17499699999999mm,Top,180.0
D105,47.824999000000005mm,97.374997mm,Top,180.0
D107,49.624999mm,102.074997mm,Bottom,180.0
D104,47.824999000000005mm,95.574997mm,Top,180.0
D103,47.824999000000005mm,93.774997mm,Top,180.0
C140,52.875099000000006mm,102.574997mm,Bottom,270.0
C132,55.375099000000006mm,96.874997mm,Bottom,180.0
C136,55.574999000000005mm,89.67499699999999mm,Bottom,180.0
C127,53.025099000000004mm,90.074997mm,Bottom,180.0
C138,44.649999mm,106.724997mm,Bottom,270.0
C130,54.378199mm,84.32529699999999mm,Bottom,0.0
C131,71.574999mm,85.17499699999999mm,Bottom,90.0
C122,66.674999mm,106.374997mm,Bottom,180.0
C114,73.624999mm,103.574997mm,Bottom,180.0
C119,56.174999mm,106.67499699999999mm,Bottom,180.0
C103,38.074999000000005mm,105.42499699999999mm,Bottom,90.0
C113,73.77499900000001mm,85.874997mm,Bottom,180.0
C102,43.274999mm,99.574997mm,Bottom,90.0
U105,63.499999mm,95.824997mm,Top,270.0
C821,127.53500799999999mm,47.185mm,Bottom,180.0
C822,127.53500799999999mm,48.985mm,Bottom,180.0
C823,127.53500799999999mm,50.785000000000004mm,Bottom,180.0
C824,127.53500799999999mm,52.585mm,Bottom,180.0
C825,127.53500799999999mm,54.385000000000005mm,Bottom,180.0
C826,131.335008mm,47.185mm,Bottom,0.0
C827,131.335008mm,48.985mm,Bottom,0.0
C828,131.335008mm,50.785000000000004mm,Bottom,0.0
C829,131.335008mm,52.585mm,Bottom,0.0
C830,131.335008mm,54.385000000000005mm,Bottom,0.0
C831,123.035mm,48.485mm,Bottom,270.0
C832,124.535mm,48.485mm,Bottom,270.0
C833,134.235008mm,47.96mm,Bottom,270.0
R821,124.535mm,51.485mm,Bottom,90.0
R822,124.535mm,54.485mm,Bottom,270.0
U821,129.43500799999998mm,50.785000000000004mm,Top,0.0
C601,57.175000000000004mm,35.975mm,Bottom,270.0
C602,56.225mm,35.975mm,Bottom,270.0
C603,56.225mm,33.775mm,Bottom,90.0
C604,55.275000000000006mm,35.975mm,Bottom,270.0
C605,69.1mm,34.316668mm,Bottom,0.0
C606,55.275000000000006mm,33.775mm,Bottom,270.0
C607,72.775mm,38.199999999999996mm,Bottom,0.0
C608,55.5mm,44.45mm,Bottom,180.0
C617,49.675000000000004mm,41.799628mm,Bottom,270.0
C618,52.099936mm,36.199999999999996mm,Bottom,0.0
D604,51.7mm,34.025mm,Bottom,180.0
R602,64.0mm,39.074999999999996mm,Bottom,180.0
R603,63.225mm,41.075mm,Bottom,0.0
R604,57.175000000000004mm,33.775mm,Bottom,90.0
R605,63.2mm,40.074999999999996mm,Bottom,180.0
R606,71.80000000000001mm,39.35mm,Bottom,180.0
R607,69.1mm,33.25mm,Bottom,180.0
R608,65.1mm,40.074999999999996mm,Bottom,0.0
R609,58.1mm,44.425mm,Bottom,180.0
R610,67.17500000000001mm,36.824999999999996mm,Bottom,180.0
R611,69.1mm,36.824999999999996mm,Bottom,180.0
R612,69.1mm,35.558334mm,Bottom,0.0
R613,59.075mm,42.724999999999994mm,Bottom,90.0
R614,55.495709000000005mm,43.5mm,Bottom,0.0
R615,57.550000000000004mm,43.025mm,Bottom,0.0
R616,72.75mm,43.0mm,Bottom,180.0
R618,60.475mm,41.075mm,Bottom,180.0
R619,61.300000000000004mm,40.074999999999996mm,Bottom,180.0
R620,61.300000000000004mm,39.074999999999996mm,Bottom,0.0
R621,49.675000000000004mm,43.935mm,Bottom,270.0
R622,70.80000000000001mm,43.0mm,Bottom,0.0
R623,59.425000000000004mm,39.074999999999996mm,Bottom,180.0
R624,55.5mm,45.4mm,Bottom,0.0
R629,49.685mm,39.788652mm,Bottom,90.0
R630,64.515mm,42.515mm,Bottom,180.0
U600,61.725mm,35.525mm,Bottom,270.0
U601,52.375mm,44.45mm,Bottom,0.0
U605,53.875mm,39.724627999999996mm,Bottom,180.0
C600,63.962500000000006mm,34.15mm,Top,270.0
C609,55.650000000000006mm,35.574999999999996mm,Top,270.0
C610,50.252mm,42.125mm,Top,0.0
C611,65.075mm,40.225mm,Top,270.0
C612,65.075mm,42.125mm,Top,90.0
C613,51.150000000000006mm,37.6mm,Top,0.0
C614,65.075mm,38.1mm,Top,90.0
C615,54.975mm,44.9mm,Top,90.0
C616,53.300000000000004mm,40.0625mm,Top,270.0
D600,73.67500000000001mm,35.0mm,Top,90.0
D601,60.900000000000006mm,33.675mm,Top,180.0
D602,57.925000000000004mm,33.675mm,Top,0.0
D603,53.39255mm,44.504999999999995mm,Top,270.0
Q600,69.235mm,38.225mm,Top,90.0
Q601,69.325mm,44.9mm,Top,180.0
R600,65.025mm,36.05mm,Top,270.0
R601,65.025mm,34.15mm,Top,270.0
R617,63.775000000000006mm,44.9mm,Top,90.0
R625,53.125mm,37.574999999999996mm,Top,0.0
R626,62.900000000000006mm,34.15mm,Top,270.0
R627,55.775000000000006mm,33.699999999999996mm,Top,270.0
R628,52.900000000000006mm,42.125mm,Top,180.0
U602,59.425000000000004mm,40.375mm,Top,90.0
U603,50.800000000000004mm,44.375mm,Top,270.0
U604,50.85mm,39.9mm,Top,0.0
R430,103.345mm,67.288326mm,Top,180.0
C431,110.99499999999999mm,63.838326mm,Top,0.0
C430,107.295mm,63.838326mm,Top,180.0
U430,108.615mm,67.088326mm,Top,90.0
D430,103.345mm,64.868326mm,Top,90.0
C752,101.275mm,39.3125mm,Bottom,180.0
C753,101.25mm,37.387499999999996mm,Bottom,0.0
C755,99.25mm,42.5125mm,Bottom,0.0
C756,97.11500000000001mm,42.5125mm,Bottom,0.0
C757,97.11500000000001mm,41.5625mm,Bottom,0.0
C760,91.92500000000001mm,35.8125mm,Bottom,270.0
C761,88.97500000000001mm,43.402499999999996mm,Bottom,180.0
C762,91.92143700000001mm,37.647889mm,Bottom,90.0
C764,101.07000000000001mm,42.5125mm,Bottom,180.0
C766,101.12mm,43.442499999999995mm,Bottom,180.0
R752,89.68425300000001mm,37.7615mm,Bottom,0.0
R753,89.68425300000001mm,35.8375mm,Bottom,180.0
R754,101.17500000000001mm,41.5625mm,Bottom,180.0
R757,101.125mm,40.6125mm,Bottom,0.0
R760,101.25mm,38.3375mm,Bottom,0.0
R761,99.30000000000001mm,41.5625mm,Bottom,180.0
R762,99.22500000000001mm,40.6125mm,Bottom,180.0
R763,101.135mm,35.3025mm,Bottom,0.0
R765,97.11500000000001mm,43.442499999999995mm,Bottom,180.0
R766,97.127915mm,40.612573mm,Bottom,180.0
U752,94.125mm,42.2125mm,Bottom,0.0
U753,96.34071700000001mm,37.3625mm,Bottom,270.0
U757,90.025mm,41.133283999999996mm,Bottom,0.0
C751,93.10000000000001mm,36.7125mm,Top,270.0
C754,96.67500000000001mm,35.7325mm,Top,90.0
C758,98.97500000000001mm,35.7325mm,Top,270.0
C759,96.67500000000001mm,37.724092999999996mm,Top,90.0
C763,88.97500000000001mm,38.9625mm,Top,180.0
C765,92.135mm,40.7825mm,Top,0.0
C767,98.97500000000001mm,37.724092999999996mm,Top,90.0
C768,94.36500000000001mm,42.0325mm,Top,90.0
C769,101.465mm,38.3125mm,Top,180.0
D751,89.415mm,40.2025mm,Top,0.0
R751,89.275mm,41.8125mm,Top,180.0
R755,93.61500000000001mm,38.1125mm,Top,180.0
R756,93.57000000000001mm,35.2375mm,Top,0.0
R758,94.325mm,36.676715mm,Top,270.0
R759,93.61500000000001mm,39.1125mm,Top,0.0
R764,97.67500000000001mm,35.7325mm,Top,90.0
R767,95.67500000000001mm,37.724092999999996mm,Top,270.0
R768,97.67500000000001mm,37.724092999999996mm,Top,90.0
R769,95.67500000000001mm,35.7325mm,Top,90.0
R770,91.715mm,39.1225mm,Top,0.0
U751,90.350706mm,36.794097mm,Top,180.0
U754,98.52303mm,41.4125mm,Top,270.0
U755,92.33500000000001mm,42.7025mm,Top,0.0
U756,100.871795mm,36.3125mm,Top,90.0
C752_2,101.275mm,28.262500000000003mm,Bottom,180.0
C753_2,101.25mm,26.337500000000002mm,Bottom,0.0
C755_2,99.25mm,31.462500000000002mm,Bottom,0.0
C756_2,97.11500000000001mm,31.462500000000002mm,Bottom,0.0
C757_2,97.11500000000001mm,30.512500000000003mm,Bottom,0.0
C760_2,91.92500000000001mm,24.762500000000003mm,Bottom,270.0
C761_2,88.97500000000001mm,32.3525mm,Bottom,180.0
C762_2,91.92143700000001mm,26.597889000000002mm,Bottom,90.0
C764_2,101.07000000000001mm,31.462500000000002mm,Bottom,180.0
C766_2,101.12mm,32.3925mm,Bottom,180.0
R752_2,89.68425300000001mm,26.7115mm,Bottom,0.0
R753_2,89.68425300000001mm,24.7875mm,Bottom,180.0
R754_2,101.17500000000001mm,30.512500000000003mm,Bottom,180.0
R757_2,101.125mm,29.5625mm,Bottom,0.0
R760_2,101.25mm,27.2875mm,Bottom,0.0
R761_2,99.30000000000001mm,30.512500000000003mm,Bottom,180.0
R762_2,99.22500000000001mm,29.5625mm,Bottom,180.0
R763_2,101.135mm,24.2525mm,Bottom,0.0
R765_2,97.11500000000001mm,32.3925mm,Bottom,180.0
R766_2,97.127915mm,29.562573mm,Bottom,180.0
U752_2,94.125mm,31.1625mm,Bottom,0.0
U753_2,96.34071700000001mm,26.3125mm,Bottom,270.0
U757_2,90.025mm,30.083284000000003mm,Bottom,0.0
C751_2,93.10000000000001mm,25.6625mm,Top,270.0
C754_2,96.67500000000001mm,24.6825mm,Top,90.0
C758_2,98.97500000000001mm,24.6825mm,Top,270.0
C759_2,96.67500000000001mm,26.674093000000003mm,Top,90.0
C763_2,88.97500000000001mm,27.9125mm,Top,180.0
C765_2,92.135mm,29.7325mm,Top,0.0
C767_2,98.97500000000001mm,26.674093000000003mm,Top,90.0
C768_2,94.36500000000001mm,30.9825mm,Top,90.0
C769_2,101.465mm,27.262500000000003mm,Top,180.0
D751_2,89.415mm,29.152500000000003mm,Top,0.0
R751_2,89.275mm,30.762500000000003mm,Top,180.0
R755_2,93.61500000000001mm,27.0625mm,Top,180.0
R756_2,93.57000000000001mm,24.1875mm,Top,0.0
R758_2,94.325mm,25.626715mm,Top,270.0
R759_2,93.61500000000001mm,28.0625mm,Top,0.0
R764_2,97.67500000000001mm,24.6825mm,Top,90.0
R767_2,95.67500000000001mm,26.674093000000003mm,Top,270.0
R768_2,97.67500000000001mm,26.674093000000003mm,Top,90.0
R769_2,95.67500000000001mm,24.6825mm,Top,90.0
R770_2,91.715mm,28.0725mm,Top,0.0
U751_2,90.350706mm,25.744097mm,Top,180.0
U754_2,98.52303mm,30.3625mm,Top,270.0
U755_2,92.33500000000001mm,31.652500000000003mm,Top,0.0
U756_2,100.871795mm,25.262500000000003mm,Top,90.0
C474,106.6486mm,59.809997mm,Bottom,270.0
R470,102.99499999999999mm,58.894997000000004mm,Bottom,180.0
U471,108.03mm,59.841997mm,Top,180.0
R474,108.895mm,59.809597000000004mm,Bottom,180.0
R473,107.63539999999999mm,59.344997mm,Bottom,270.0
R472,105.11999999999999mm,58.894997000000004mm,Bottom,180.0
C473,108.99499999999999mm,60.794997mm,Bottom,180.0
C472,108.99499999999999mm,58.944997mm,Bottom,0.0
U470,104.05499999999999mm,59.841997mm,Top,180.0
R471,102.99499999999999mm,59.794997mm,Bottom,0.0
C471,103.045mm,60.794997mm,Bottom,0.0
C470,105.17mm,60.794997mm,Bottom,180.0
D415,117.299999mm,20.249996mm,Bottom,270.0
R428,118.284399mm,6.804496mm,Bottom,90.0
R427,105.149999mm,5.449996mm,Bottom,0.0
R426,116.675799mm,5.809896mm,Top,270.0
R425,115.367699mm,12.924996mm,Top,90.0
R424,115.367699mm,15.222096mm,Top,270.0
LED4,103.608099mm,4.561096mm,Top,270.0
LED3,116.675799mm,7.959196mm,Top,90.0
LED2,116.44909899999999mm,12.949996mm,Top,90.0
LED1,116.44909899999999mm,15.197096mm,Top,270.0
R422,109.458399mm,4.449996mm,Bottom,180.0
C426,115.689999mm,9.849996mm,Top,0.0
C425,112.999999mm,9.849996mm,Top,180.0
F410,110.156999mm,18.116796mm,Top,0.0
C415,115.323399mm,4.149996mm,Bottom,0.0
C414,114.348399mm,13.659996mm,Bottom,180.0
U411,112.92219899999999mm,8.799996mm,Bottom,90.0
